Timestamp, FrameID, RTT(us)
1766398802.051990, 199688, 279644
1766398802.052031, 200121, 263150
1766398802.080394, 200510, 260799
1766398802.095977, 200417, 297883
1766398802.115506, 200808, 278036
1766398802.136058, 201164, 279972
1766398802.136098, 201272, 271611
1766398802.175434, 201564, 287957
1766398802.177917, 201983, 272467
1766398802.212180, 202107, 291220
1766398802.216408, 202311, 278236
1766398802.220357, 202596, 266393
1766398802.222843, 202822, 251839
1766398802.239710, 203122, 251182
1766398802.282529, 203679, 261947
1766398802.287941, 203298, 284986
1766398802.302763, 203799, 264977
1766398802.337448, 204207, 284868
1766398802.337489, 204369, 267116
1766398802.362980, 204738, 275180
1766398802.370205, 204965, 265850
1766398802.385320, 205125, 263895
1766398802.397603, 205550, 259963
1766398802.436358, 205675, 282586
1766398802.441674, 206088, 254937
1766398802.468342, 206431, 264902
1766398802.468383, 205946, 296656
1766398802.483164, 206767, 262469
1766398802.502414, 207120, 247165
1766398802.519746, 207017, 283282
1766398802.542884, 207418, 271607
1766398802.567962, 207793, 279968
1766398802.570687, 208073, 265675
1766398802.572885, 208155, 250201
1766398802.602244, 208623, 263810
1766398802.630627, 208689, 276589
1766398802.639589, 209127, 269596
1766398802.652225, 209191, 264631
1766398802.676102, 209550, 273316
1766398802.685828, 209894, 264603
1766398802.685881, 210082, 248812
1766398802.705566, 210506, 235786
1766398802.707991, 210389, 255316
1766398802.742895, 210920, 258111
1766398802.765380, 211308, 245433
1766398802.767879, 211016, 265605
1766398802.785001, 211591, 249406
1766398802.792315, 211807, 240992
1766398802.816787, 211996, 248441
1766398802.827404, 212440, 241933
1766398802.842125, 212513, 239090
1766398802.859263, 212929, 240848
1766398802.875564, 213021, 240180
1766398802.894937, 213263, 242337
1766398802.935683, 213548, 265693
1766398802.935756, 213911, 250698
1766398802.935762, 214411, 216675
1766398802.960246, 214039, 257668
1766398802.963221, 214598, 226612
1766398802.988437, 215195, 219650
1766398803.011166, 214976, 258316
1766398803.016233, 215425, 230449
1766398803.035710, 215665, 233531
1766398803.059438, 215908, 241372
1766398803.064520, 216220, 228882
1766398803.068397, 216416, 214507
1766398803.104523, 216964, 218073
1766398803.109120, 216726, 239860
1766398803.119217, 217224, 216624
1766398803.150880, 217380, 231580
1766398803.163759, 217898, 211485
1766398803.181265, 217706, 245487
1766398803.193628, 218361, 224542
1766398803.218727, 218549, 233697
1766398803.246392, 218643, 244478
1766398803.266010, 218945, 246755
1766398803.282557, 219546, 231030
1766398803.282598, 219169, 246460
1766398803.292483, 219808, 222218
1766398803.336999, 219965, 254689
1766398803.356764, 220275, 254017
1766398803.389105, 220610, 268241
1766398803.399971, 221072, 247030
1766398803.401631, 220927, 269701
1766398803.428065, 221393, 258605
1766398803.471958, 222185, 253470
1766398803.482867, 221736, 280730
1766398803.482901, 221483, 296656
1766398803.497314, 222391, 260145
1766398803.512285, 222574, 259160
1766398803.564678, 222889, 295292
1766398803.576253, 223058, 289804
1766398803.576285, 223471, 278107
1766398803.653935, 223927, 322116
1766398803.658116, 223515, 338261
1766398803.668472, 224140, 315012
1766398803.716655, 224379, 346737
1766398803.721598, 224589, 334957
1766398803.750009, 225027, 331118
1766398803.752084, 224784, 348750
1766398803.785683, 225393, 351078
1766398803.832168, 225658, 379087
1766398803.863237, 226154, 378395
1766398803.863306, 225838, 394266
1766398803.892647, 226351, 390402
1766398803.907859, 226625, 387257
1766398803.933690, 226988, 398542
1766398803.946082, 227153, 393308
1766398804.007967, 227547, 438903
1766398804.021415, 227660, 433565
1766398804.050300, 227982, 447132
1766398804.062629, 228174, 443408
1766398804.062688, 228366, 427275
1766398804.107311, 228749, 454249
1766398804.119563, 229344, 434035
1766398804.134740, 229087, 465570
1766398804.165428, 229561, 462337
1766398804.167961, 229639, 449092
1766398804.209406, 230089, 473575
1766398804.219378, 230256, 467754
1766398804.224426, 230517, 454706
1766398804.571405, 231106, 769352
1766398804.637733, 232177, 768422
1766398804.670185, 232705, 750036
1766398804.728532, 233595, 759746
1766398804.759214, 234411, 739534
1766398804.774331, 234619, 739143
1766398804.812751, 235351, 727558
1766398804.864346, 235914, 745498
1766398804.899757, 236457, 747219
1766398805.010217, 238145, 740999
1766398805.084440, 238851, 765038
1766398805.178135, 240451, 759227
1766398805.248262, 241826, 744979
1766398805.254136, 241949, 733322
1766398805.322425, 243316, 720487
1766398805.335699, 243066, 749752
1766398805.389747, 243717, 753944
1766398805.450029, 245047, 730949
1766398805.459846, 245486, 722921
1766398805.462332, 245546, 709746
1766398805.464830, 246063, 679193
1766398805.477154, 245897, 708082
